Main.MR.results.Exposure	Main.MR.results.MR.Analysis	Main.MR.results.Causal.Estimate	Main.MR.results.Sd	Main.MR.results.T.stat	Main.MR.results.P.value	MR.PRESSO.results.Global.Test.RSSobs	MR.PRESSO.results.Global.Test.Pvalue	MR.PRESSO.results.Outlier.Test.RSSobs	MR.PRESSO.results.Outlier.Test.Pvalue	MR.PRESSO.results.Distortion.Test.Outliers.Indices	MR.PRESSO.results.Distortion.Test.Distortion.Coefficient	MR.PRESSO.results.Distortion.Test.Pvalue
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001978235	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000303861	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000167766	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.001158398	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.019383545	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	3.72E-05	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001193365	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000147885	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000291347	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	3.34E-05	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001423774	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	6.07E-06	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001011519	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.001412787	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	4.77E-06	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.003232006	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.004948509	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	5.72E-06	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.002402992	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.000141948	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000171243	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.00027345	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.001017242	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.00120288	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.00042854	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.001122996	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.003222691	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.002965961	1	45	-596.9665216	0.027
beta.exposure	Raw	-0.021021988	0.140055085	-0.150097996	0.880860157	215.501762	0.038	0.000798572	1	45	-596.9665216	0.027
beta.exposure	Outlier-corrected	0.004230061	0.136593359	0.030968278	0.975330331	215.501762	0.038	0.003534028	1	45	-596.9665216	0.027
